city,lat,temp,max temp,humidity,cloudiness,wind speed
Rikitea,-23.12,78.57,78.57,100,0,20.49
Okha,53.59,-7.83,-7.83,93,48,4.38
Issoire,45.54,57.2,57.2,33,0,8.05
Provideniya,64.42,3.15,3.15,100,68,20.15
Bluff,-23.58,69.3,69.3,92,0,4.16
Paita,-5.09,62.6,62.6,290,0,6.93
Dikson,73.51,12.06,12.06,98,68,17.69
Pangnirtung,66.15,-22.01,-22.01,55,75,3.36
Qaanaaq,77.48,-18.63,-18.63,100,20,5.73
San Carlos de Bariloche,-41.13,59.0,59.0,38,75,19.46
Tuktoyaktuk,69.44,14.0,14.0,85,75,3.36
Puerto Ayora,-0.74,81.75,82.4,74,0,5.82
Ouadda,8.07,88.65,88.65,23,12,7.74
Butaritari,3.07,80.64,80.64,100,68,5.84
Upernavik,72.79,-11.34,-11.34,100,0,9.19
Bull Savanna,17.89,83.97,83.97,49,68,3.6
Olympia,47.05,50.41,53.01,81,90,4.7
Sungaipenuh,-2.08,65.52,65.52,97,36,1.36
Ushuaia,-54.81,50.79,51.8,87,75,12.66
Baghdad,33.3,62.6,62.6,42,0,5.82
Leningradskiy,69.38,-15.93,-15.93,47,12,5.17
Blagodatnoye,51.57,34.86,35.6,100,90,8.95
Broome,52.47,57.06,61.0,72,75,1.12
Kruisfontein,-34.0,62.91,62.91,86,0,9.53
Awbari,26.59,71.46,71.46,31,0,9.86
Longyearbyen,78.22,19.4,19.4,79,40,13.87
Grindavik,63.84,35.6,35.6,100,40,20.8
Port Lincoln,-34.72,62.82,62.82,100,8,13.67
Lebu,8.96,62.01,62.01,36,24,6.06
Atuona,-9.8,80.91,80.91,100,68,14.9
Bonavista,48.65,39.0,39.0,55,64,17.0
Pauini,-7.71,86.67,86.67,75,48,3.71
Charters Towers,-20.07,72.54,72.54,91,92,5.28
Punta Arenas,-53.16,51.55,51.8,76,0,16.11
Tiksi,71.64,-0.9,-0.9,66,0,19.71
Rehoboth,-23.31,74.97,74.97,20,8,2.26
Hilo,19.71,63.14,66.2,88,90,4.7
Bredasdorp,-34.53,69.22,69.8,73,76,9.17
Adrar,27.87,73.4,73.4,18,0,11.41
Barcelos,41.53,65.93,68.0,36,0,6.93
Norman Wells,65.28,33.8,33.8,74,75,4.7
Terrace,54.52,38.32,39.0,74,20,13.87
Kapaa,22.08,65.52,66.2,82,1,6.93
Iglesias,42.3,53.85,55.99,54,0,17.22
Constitucion,23.99,59.59,63.0,33,5,4.38
Vaini,15.34,67.59,67.59,77,0,3.15
Mataura,-46.19,59.0,59.0,93,44,2.71
Victoria,5.28,79.84,80.6,94,75,7.74
Warrnambool,-38.38,64.0,64.0,96,80,6.85
Mount Gambier,-37.83,62.6,62.6,93,90,8.05
Saskylakh,71.97,5.31,5.31,73,88,11.43
Albany,42.65,41.92,46.0,75,90,6.93
Hazro,38.25,52.65,55.4,71,20,6.93
Ponta do Sol,-20.63,75.24,75.24,83,80,6.62
